design,regime,p,seed,m,estimate,standard_error,population_reference,absolute_difference,tolerance,agrees_with_population
bernoulli_conditioned_nonempty,positive_block,0.625,101,8192,0.38451213873554,0.003805109293128219,0.3819658431377201,0.0025462955978199364,0.028307177460864648,true
bernoulli_conditioned_nonempty,positive_block,0.625,202,8192,0.3823299124763574,0.003743313306794514,0.3819658431377201,0.0003640693386373073,0.027959262012846632,true
bernoulli_conditioned_nonempty,positive_block,0.625,303,8192,0.3927281115718759,0.0038285280247191806,0.3819658431377201,0.010762268434155842,0.028439202111294578,true
bernoulli_conditioned_nonempty,positive_block,0.75,101,8192,0.4280742412194206,0.0038005890904995827,0.4345170270204648,0.006442785801044182,0.028631220516742693,true
bernoulli_conditioned_nonempty,positive_block,0.75,202,8192,0.4316569280488798,0.00383938580562112,0.4345170270204648,0.0028600989715850123,0.02884688386114653,true
bernoulli_conditioned_nonempty,positive_block,0.75,303,8192,0.4319621811443148,0.0037765528806623407,0.4345170270204648,0.0025548458761500137,0.028497765127997517,true
bernoulli_conditioned_nonempty,positive_block,0.875,101,8192,0.48378171853996854,0.0037494869811318513,0.48113247288301986,0.0026492456569486844,0.028717730043002487,true
bernoulli_conditioned_nonempty,positive_block,0.875,202,8192,0.4794806095869455,0.0037410767984358303,0.48113247288301986,0.0016518632960743629,0.028671811569541926,true
bernoulli_conditioned_nonempty,positive_block,0.875,303,8192,0.4793447687010495,0.0037575524708514294,0.48113247288301986,0.0017877041819703843,0.028761783147859675,true
bernoulli_conditioned_nonempty,positive_block,1,101,8192,0.5221506556957027,0.003716610530859832,0.5228204804855534,0.0006698247898506704,0.028919031885624596,true
bernoulli_conditioned_nonempty,positive_block,1,202,8192,0.51607140554328,0.003699480642175373,0.5228204804855534,0.006749074942273392,0.02882709859671748,true
bernoulli_conditioned_nonempty,positive_block,1,303,8192,0.5252463857051775,0.0036858879848497466,0.5228204804855534,0.002425905219624047,0.02875420975252876,true
fixed_cardinality,negative_block,0.125,101,8192,0.0016483829000582557,0.0038926324930723404,-0.0000012315447381098028,0.0016496144447963655,0.02772031003360186,true
fixed_cardinality,negative_block,0.125,202,8192,0.002683284611357462,0.003974103030962087,-0.0000012315447381098028,0.0026845161560955714,0.028201771967669088,true
